product_id,product_name,category,price
1001,Product 1,Men,1299
1002,Product 2,Women,2499
1003,Product 3,Kids,1899
1004,Product 4,Footwear,3299
1005,Product 5,Men,4599
1006,Product 6,Women,1599
1007,Product 7,Kids,2199
1008,Product 8,Footwear,799
1009,Product 9,Men,2799
1010,Product 10,Women,1999
1011,Product 11,Kids,3499
1012,Product 12,Footwear,999
1013,Product 13,Men,2399
1014,Product 14,Women,5499
1015,Product 15,Kids,1799
1016,Product 16,Footwear,2899
1017,Product 17,Men,3999
1018,Product 18,Women,1499
1019,Product 19,Kids,2299
1020,Product 20,Footwear,3199
