song,artist,genre,popularity,danceability,energy
Song 1,Artist 2,Pop,67.0,0.58,0.57
Song 2,Artist 3,Hip-Hop,74.0,0.71,0.74
Song 3,Artist 4,Rock,81.0,0.84,0.91
Song 4,Artist 5,EDM,88.0,0.46,0.52
Song 5,Artist 6,R&B,95.0,0.59,0.69
Song 6,Artist 7,,61.0,0.72,0.86
Song 7,Artist 8,Hip-Hop,68.0,0.85,0.47
Song 8,Artist 9,Rock,75.0,0.47,0.64
Song 9,Artist 10,EDM,82.0,0.6,0.81
Song 10,Artist 11,R&B,89.0,0.73,0.42
Song 11,Artist 12,Pop,96.0,0.86,0.59
Song 12,Artist 13,Hip-Hop,62.0,0.48,0.76
Song 13,Artist 14,Rock,69.0,0.61,0.93
Song 14,Artist 15,EDM,76.0,0.74,0.54
Song 15,Artist 16,R&B,83.0,0.87,0.71
Song 16,Artist 17,Pop,90.0,0.49,0.88
Song 17,Artist 18,Hip-Hop,97.0,0.62,0.49
Song 18,Artist 19,Rock,63.0,0.75,0.66
Song 19,Artist 20,EDM,70.0,0.88,0.83
Song 20,Artist 1,R&B,77.0,0.5,0.44
Song 21,Artist 2,Pop,84.0,0.63,0.61
Song 22,Artist 3,Hip-Hop,91.0,0.76,0.78
Song 23,Artist 4,Rock,,0.89,0.95
Song 24,Artist 5,EDM,64.0,0.51,0.56
Song 25,Artist 6,R&B,71.0,0.64,0.73
Song 26,Artist 7,Pop,78.0,0.77,0.9
Song 27,Artist 8,Hip-Hop,85.0,0.9,0.51
Song 28,Artist 9,Rock,92.0,0.52,0.68
Song 29,Artist 10,EDM,99.0,0.65,0.85
Song 30,Artist 11,R&B,65.0,0.78,0.46
Song 31,Artist 12,Pop,72.0,0.91,0.63
Song 32,Artist 13,Hip-Hop,79.0,0.53,0.8
Song 33,Artist 14,Rock,86.0,0.66,0.41
Song 34,Artist 15,EDM,93.0,0.79,0.58
Song 35,Artist 16,R&B,100.0,0.92,0.75
Song 36,Artist 17,Pop,66.0,0.54,0.92
Song 37,Artist 18,Hip-Hop,73.0,0.67,0.53
Song 38,Artist 19,Rock,80.0,0.8,0.7
Song 39,Artist 20,EDM,87.0,0.93,0.87
Song 40,Artist 1,R&B,94.0,0.55,0.48
Song 41,Artist 2,Pop,60.0,0.68,0.65
Song 42,Artist 3,Hip-Hop,67.0,0.81,0.82
Song 43,Artist 4,Rock,74.0,0.94,0.43
Song 44,Artist 5,EDM,81.0,0.56,0.6
Song 45,Artist 6,R&B,88.0,0.69,0.77
Song 46,Artist 7,Pop,95.0,0.82,0.94
Song 47,Artist 8,Hip-Hop,61.0,0.95,0.55
Song 48,Artist 9,Rock,68.0,0.57,0.72
Song 49,Artist 10,EDM,75.0,0.7,0.89
Song 50,Artist 11,R&B,82.0,0.83,0.5
Song 51,Artist 12,Pop,89.0,0.45,0.67
Song 52,Artist 13,Hip-Hop,96.0,0.58,0.84
Song 53,Artist 14,Rock,62.0,0.71,0.45
Song 54,Artist 15,EDM,69.0,0.84,0.62
Song 55,Artist 16,R&B,76.0,0.46,0.79
Song 56,Artist 17,Pop,83.0,0.59,0.4
Song 57,Artist 18,Hip-Hop,90.0,0.72,0.57
Song 58,Artist 19,Rock,97.0,0.85,0.74
Song 59,Artist 20,EDM,63.0,0.47,0.91
Song 60,Artist 1,R&B,70.0,0.6,0.52
Song 61,Artist 2,Pop,77.0,0.73,0.69
Song 62,Artist 3,Hip-Hop,84.0,0.86,0.86
Song 63,Artist 4,Rock,91.0,0.48,0.47
Song 64,Artist 5,EDM,98.0,0.61,0.64
Song 65,Artist 6,R&B,64.0,0.74,0.81
Song 66,Artist 7,Pop,71.0,0.87,0.42
Song 67,Artist 8,Hip-Hop,78.0,0.49,0.59
Song 68,Artist 9,Rock,85.0,0.62,0.76
Song 69,Artist 10,EDM,92.0,0.75,0.93
Song 70,Artist 11,R&B,99.0,0.88,0.54
Song 71,Artist 12,Pop,65.0,0.5,0.71
Song 72,Artist 13,Hip-Hop,72.0,0.63,0.88
Song 73,Artist 14,Rock,79.0,0.76,0.49
Song 74,Artist 15,EDM,86.0,0.89,0.66
Song 75,Artist 16,R&B,93.0,0.51,0.83
Song 76,Artist 17,Pop,100.0,0.64,0.44
Song 77,Artist 18,Hip-Hop,66.0,0.77,0.61
Song 78,Artist 19,Rock,73.0,0.9,0.78
Song 79,Artist 20,EDM,80.0,0.52,0.95
Song 80,Artist 1,R&B,87.0,0.65,0.56
Song 81,Artist 2,Pop,94.0,0.78,0.73
Song 82,Artist 3,Hip-Hop,60.0,0.91,0.9
Song 83,Artist 4,Rock,67.0,0.53,0.51
Song 84,Artist 5,EDM,74.0,0.66,0.68
Song 85,Artist 6,R&B,81.0,0.79,0.85
Song 86,Artist 7,Pop,88.0,0.92,0.46
Song 87,Artist 8,Hip-Hop,95.0,0.54,0.63
Song 88,Artist 9,Rock,61.0,0.67,0.8
Song 89,Artist 10,EDM,68.0,0.8,0.41
Song 90,Artist 11,R&B,75.0,0.93,0.58
Song 91,Artist 12,Pop,82.0,0.55,0.75
Song 92,Artist 13,Hip-Hop,89.0,0.68,0.92
Song 93,Artist 14,Rock,96.0,0.81,0.53
Song 94,Artist 15,EDM,62.0,0.94,0.7
Song 95,Artist 16,R&B,69.0,0.56,0.87
Song 96,Artist 17,Pop,76.0,0.69,0.48
Song 97,Artist 18,Hip-Hop,83.0,0.82,0.65
Song 98,Artist 19,Rock,90.0,0.95,0.82
Song 99,Artist 20,EDM,97.0,0.57,0.43
Song 100,Artist 1,R&B,63.0,0.7,0.6
